model,accuracy,macro_f1,weighted_f1
random_forest,0.5714285714285714,0.5595238095238095,0.5680272108843537
hist_gradient_boosting,0.5714285714285714,0.459280303030303,0.524891774891775
gradient_boosting,0.5238095238095238,0.4571428571428572,0.4653061224489796
xgboost,0.5238095238095238,0.4217032967032967,0.48194662480376765
logistic_regression,0.47619047619047616,0.49015151515151517,0.48874458874458876
svm_rbf,0.42857142857142855,0.3591346153846154,0.41043956043956037
extra_trees,0.42857142857142855,0.35064935064935066,0.4007421150278293
