feature,importance,source
flow_dy_accel_jerk_p10,0.0022440688262814006,random_forest
det_speed_norm_per_sec_time_to_abs_peak,0.0022368784632819387,random_forest
flow_dy_accel_p90,0.002218224717826618,random_forest
flow_mag_max_last,0.0022133847746384117,random_forest
flow_mag_max_delta,0.0021977918169932466,random_forest
roi_aspect_energy,0.0021918441633273418,random_forest
det_speed_accel_jerk_max,0.0021794125068056325,random_forest
flow_dy_mean_per_sec_p10,0.00217571411485449,random_forest
det_vy_accel_jerk_abs_mean,0.0021653912191090447,random_forest
roi_height_peak_to_mean,0.0021469588302679195,random_forest
det_vy_accel_signed_auc,0.002146349288896835,random_forest
det_speed_norm_per_sec_p25,0.00214450642388041,random_forest
flow_mag_norm_per_sec_time_to_abs_peak,0.0021397407326426304,random_forest
conf_b_first,0.002129701860283702,random_forest
det_speed_auc,0.002119720410510637,random_forest
flow_dy_mean_per_sec_time_to_abs_peak,0.0021196961137293613,random_forest
flow_dy_accel_first,0.0021177709401651616,random_forest
det_speed_accel_jerk_last,0.002085630354557505,random_forest
det_dy_range,0.002083557722771364,random_forest
det_vx_norm_per_sec_signed_auc,0.0020701641191678702,random_forest
det_vx_norm_per_sec_p90,0.002063420628143919,random_forest
det_speed_norm_per_sec_first,0.0020482343584602076,random_forest
roi_aspect_mean,0.0020447674751627853,random_forest
det_speed_accel_p10,0.002043257968763153,random_forest
flow_dy_accel_jerk_std,0.0020261666690695544,random_forest
det_dx_abs_mean,0.002022414528808559,random_forest
det_vy_accel_jerk_auc,0.002018597767926781,random_forest
flow_dy_accel_p75,0.002016068416138167,random_forest
det_dy_delta,0.0019976486564765037,random_forest
det_speed_accel_jerk_energy,0.00199690407447045,random_forest
conf_b_time_to_abs_peak,0.0019746862177844483,random_forest
det_speed_time_to_abs_peak,0.0019631254528931614,random_forest
det_vy_accel_range,0.00196144867907815,random_forest
det_dx_energy,0.0019377912061749455,random_forest
flow_dy_accel_jerk_delta,0.0019250989889195039,random_forest
flow_dy_accel_jerk_slope_first_last,0.001921235266149934,random_forest
det_vx_norm_per_sec_mean,0.0019171201310297823,random_forest
det_speed_max,0.0019107579330126777,random_forest
det_vy_norm_per_sec_auc,0.0019040528999413643,random_forest
det_vy_norm_per_sec_delta,0.0018997478748853532,random_forest
det_vy_accel_slope_first_last,0.0018892825035102662,random_forest
det_speed_accel_jerk_auc,0.0018885975956750966,random_forest
conf_a_p75,0.001886955446623863,random_forest
flow_mag_max_p10,0.0018475393426750774,random_forest
det_dx_first,0.0018317470694274455,random_forest
flow_mag_std_abs_mean,0.0018294888003159708,random_forest
det_dx_abs_max,0.0018203086386420284,random_forest
det_speed_accel_first,0.0018163479318501247,random_forest
conf_a_slope_first_last,0.0018146043774140846,random_forest
flow_mag_std_mean,0.00178838494322328,random_forest
flow_down_up_ratio,0.001779728774178884,random_forest
det_vy_accel_max,0.001769139517963286,random_forest
det_speed_accel_delta,0.001763069079484208,random_forest
det_speed_accel_auc,0.0017524724153873852,random_forest
det_dy_first,0.0017474080896515084,random_forest
det_vy_accel_mean,0.0017455124063926936,random_forest
flow_mag_end_minus_start,0.0017420394210983358,random_forest
conf_a_first,0.0017299203176915356,random_forest
det_vx_norm_per_sec_time_to_abs_peak,0.0017256529433405919,random_forest
det_vy_norm_per_sec_first,0.001724460826943432,random_forest
flow_mag_mean_per_sec_time_to_abs_peak,0.001723101141761519,random_forest
flow_dy_norm_per_sec_signed_auc,0.0017183065148536347,random_forest
roi_width_p90,0.0017175928377086514,random_forest
det_vy_accel_jerk_energy,0.0017093894481211812,random_forest
det_speed_signed_auc,0.0017082610189641657,random_forest
flow_mag_accel_jerk_slope_first_last,0.0016926896739451881,random_forest
det_dx_slope_first_last,0.001687831104613709,random_forest
flow_mag_std_slope_first_last,0.0016853442790138924,random_forest
det_dy_p25,0.0016767262970628493,random_forest
flow_dx_mean_per_sec_p10,0.001656634052883912,random_forest
roi_height_range,0.001652550043427147,random_forest
det_dy_std,0.001648475553810692,random_forest
det_vy_accel_energy,0.0016302894587027475,random_forest
det_vy_norm_per_sec_energy,0.0016269512502924551,random_forest
det_speed_accel_p75,0.0016237664220240344,random_forest
det_dx_std,0.0016234721519123823,random_forest
det_speed_accel_energy,0.0016121649479507252,random_forest
