epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.6424,1.16497,0.72987,0.99508,1.63592,0.00332653,0.00332653,0.00332653
2,69.095,0.79957,0.74776,0.99463,1.60484,0.00659393,0.00659393,0.00659393
3,100.633,0.75848,0.68336,0.99419,1.5969,0.00979533,0.00979533,0.00979533
4,132.4,0.73654,0.79249,0.99776,1.52141,0.009703,0.009703,0.009703
5,163.936,0.63488,0.8068,0.99597,1.51759,0.009604,0.009604,0.009604
6,196.329,0.58623,0.82916,0.99642,1.50223,0.009505,0.009505,0.009505
7,228.998,0.52893,0.81664,0.99687,1.478,0.009406,0.009406,0.009406
8,261.889,0.50376,0.84213,0.99732,1.47872,0.009307,0.009307,0.009307
9,294.538,0.47285,0.80859,0.99687,1.5004,0.009208,0.009208,0.009208
10,326.843,0.45038,0.82156,0.99642,1.48562,0.009109,0.009109,0.009109
11,358.938,0.42889,0.85599,0.99732,1.44826,0.00901,0.00901,0.00901
12,391.104,0.41349,0.80277,0.99776,1.50516,0.008911,0.008911,0.008911
13,423.353,0.3953,0.86717,0.99732,1.43756,0.008812,0.008812,0.008812
14,455.686,0.37719,0.87343,0.99687,1.43457,0.008713,0.008713,0.008713
15,487.811,0.36386,0.86807,0.99642,1.43101,0.008614,0.008614,0.008614
16,519.882,0.36998,0.87254,0.99732,1.43507,0.008515,0.008515,0.008515
17,552.331,0.36453,0.87522,0.99776,1.42613,0.008416,0.008416,0.008416
18,584.514,0.33005,0.8797,0.99687,1.42139,0.008317,0.008317,0.008317
19,616.847,0.33686,0.88104,0.99642,1.42864,0.008218,0.008218,0.008218
20,649.248,0.32215,0.88283,0.99687,1.42545,0.008119,0.008119,0.008119
21,681.592,0.3064,0.87522,0.99776,1.42125,0.00802,0.00802,0.00802
22,713.885,0.30579,0.88909,0.99732,1.40947,0.007921,0.007921,0.007921
23,746.125,0.28896,0.88775,0.99776,1.41408,0.007822,0.007822,0.007822
24,778.415,0.27409,0.88148,0.99687,1.41789,0.007723,0.007723,0.007723
25,810.761,0.28251,0.89222,0.99687,1.40382,0.007624,0.007624,0.007624
26,843.144,0.27945,0.8958,0.99776,1.39806,0.007525,0.007525,0.007525
27,875.491,0.27301,0.88283,0.99597,1.41235,0.007426,0.007426,0.007426
28,907.82,0.25162,0.89848,0.99866,1.39809,0.007327,0.007327,0.007327
29,940.133,0.25775,0.90027,0.99776,1.39738,0.007228,0.007228,0.007228
30,972.534,0.23426,0.89356,0.99597,1.4,0.007129,0.007129,0.007129
31,1004.77,0.24784,0.88193,0.99642,1.41897,0.00703,0.00703,0.00703
32,1036.91,0.23908,0.90161,0.99687,1.38673,0.006931,0.006931,0.006931
33,1069.21,0.25506,0.87478,0.99597,1.42948,0.006832,0.006832,0.006832
34,1101.44,0.22862,0.89803,0.99732,1.39149,0.006733,0.006733,0.006733
35,1133.84,0.22206,0.89848,0.99642,1.39552,0.006634,0.006634,0.006634
36,1166.43,0.2248,0.90921,0.99821,1.38841,0.006535,0.006535,0.006535
37,1198.61,0.20971,0.90832,0.99642,1.38895,0.006436,0.006436,0.006436
38,1230.96,0.20713,0.89624,0.99642,1.39018,0.006337,0.006337,0.006337
39,1263.34,0.21217,0.90385,0.99776,1.38636,0.006238,0.006238,0.006238
40,1295.85,0.21296,0.90787,0.99732,1.38562,0.006139,0.006139,0.006139
41,1327.99,0.19129,0.9034,0.99821,1.38757,0.00604,0.00604,0.00604
42,1360.16,0.18401,0.90295,0.99776,1.38813,0.005941,0.005941,0.005941
43,1392.64,0.191,0.90698,0.99776,1.381,0.005842,0.005842,0.005842
44,1425.07,0.19369,0.90742,0.99687,1.38376,0.005743,0.005743,0.005743
45,1457.4,0.18977,0.89758,0.99642,1.38926,0.005644,0.005644,0.005644
46,1489.76,0.1798,0.90877,0.99776,1.37839,0.005545,0.005545,0.005545
47,1522.14,0.17879,0.90921,0.99687,1.38061,0.005446,0.005446,0.005446
48,1554.37,0.16571,0.911,0.99687,1.379,0.005347,0.005347,0.005347
49,1586.62,0.17365,0.90564,0.99821,1.37864,0.005248,0.005248,0.005248
50,1618.95,0.15317,0.91413,0.99776,1.37501,0.005149,0.005149,0.005149
51,1651.42,0.15247,0.90787,0.99776,1.37499,0.00505,0.00505,0.00505
52,1683.66,0.15264,0.91279,0.99732,1.3731,0.004951,0.004951,0.004951
53,1716.07,0.1601,0.91055,0.99866,1.37194,0.004852,0.004852,0.004852
54,1748.39,0.15234,0.91369,0.99776,1.37175,0.004753,0.004753,0.004753
55,1780.54,0.15366,0.91145,0.99732,1.37037,0.004654,0.004654,0.004654
56,1812.86,0.14007,0.91324,0.99687,1.36991,0.004555,0.004555,0.004555
57,1845.2,0.14197,0.91234,0.99732,1.36881,0.004456,0.004456,0.004456
58,1877.35,0.1442,0.91324,0.99776,1.371,0.004357,0.004357,0.004357
59,1909.77,0.14465,0.9186,0.99776,1.36876,0.004258,0.004258,0.004258
60,1941.93,0.13103,0.91682,0.99776,1.36818,0.004159,0.004159,0.004159
61,1974.33,0.13119,0.91279,0.99821,1.37016,0.00406,0.00406,0.00406
62,2006.48,0.12546,0.91771,0.99821,1.37134,0.003961,0.003961,0.003961
63,2038.95,0.12162,0.91682,0.99821,1.36724,0.003862,0.003862,0.003862
64,2071.55,0.12649,0.91458,0.99776,1.36759,0.003763,0.003763,0.003763
65,2103.96,0.12447,0.91413,0.99732,1.36723,0.003664,0.003664,0.003664
66,2136.2,0.11835,0.91279,0.99687,1.36897,0.003565,0.003565,0.003565
67,2168.66,0.11118,0.9119,0.99732,1.36939,0.003466,0.003466,0.003466
68,2200.88,0.11734,0.91413,0.99732,1.3668,0.003367,0.003367,0.003367
69,2233.2,0.11858,0.91458,0.99866,1.36694,0.003268,0.003268,0.003268
70,2265.6,0.11355,0.91503,0.99821,1.36649,0.003169,0.003169,0.003169
71,2297.78,0.103,0.91592,0.99821,1.36681,0.00307,0.00307,0.00307
72,2330.2,0.09794,0.91592,0.99732,1.36491,0.002971,0.002971,0.002971
73,2362.73,0.09916,0.91458,0.99732,1.36734,0.002872,0.002872,0.002872
74,2394.99,0.0939,0.91279,0.99776,1.36589,0.002773,0.002773,0.002773
75,2427.47,0.0916,0.90966,0.99776,1.36713,0.002674,0.002674,0.002674
76,2459.79,0.09131,0.91503,0.99732,1.36593,0.002575,0.002575,0.002575
77,2492.04,0.09099,0.91726,0.99642,1.36416,0.002476,0.002476,0.002476
78,2524.42,0.08372,0.91503,0.99687,1.3639,0.002377,0.002377,0.002377
79,2556.75,0.08547,0.91369,0.99642,1.36371,0.002278,0.002278,0.002278
80,2589.05,0.07996,0.91592,0.99687,1.36246,0.002179,0.002179,0.002179
81,2621.23,0.08236,0.9186,0.99821,1.3612,0.00208,0.00208,0.00208
82,2653.5,0.07192,0.91503,0.99776,1.36145,0.001981,0.001981,0.001981
83,2685.75,0.08456,0.91771,0.99866,1.36157,0.001882,0.001882,0.001882
84,2718.18,0.07375,0.92039,0.99866,1.35988,0.001783,0.001783,0.001783
85,2750.7,0.07853,0.92084,0.99911,1.35985,0.001684,0.001684,0.001684
86,2783.16,0.07511,0.92039,0.99821,1.35965,0.001585,0.001585,0.001585
87,2815.47,0.06989,0.91816,0.99821,1.35968,0.001486,0.001486,0.001486
88,2847.55,0.06978,0.92129,0.99821,1.36,0.001387,0.001387,0.001387
89,2879.8,0.06743,0.92218,0.99821,1.35988,0.001288,0.001288,0.001288
90,2912.16,0.06348,0.92129,0.99821,1.35922,0.001189,0.001189,0.001189
91,2945,0.05918,0.92263,0.99821,1.35861,0.00109,0.00109,0.00109
92,2977.48,0.06359,0.92308,0.99821,1.35884,0.000991,0.000991,0.000991
93,3009.99,0.05944,0.92352,0.99687,1.35812,0.000892,0.000892,0.000892
