epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,535.502,0.02958,0.87755,0.98887,1.40407,0.000212129,0.000212129,0.000212129
73,543.06,0.03893,0.86827,0.98887,1.40568,0.000205061,0.000205061,0.000205061
74,550.673,0.03215,0.87199,0.99443,1.40137,0.000197992,0.000197992,0.000197992
75,558.233,0.03236,0.86827,0.99072,1.40625,0.000190924,0.000190924,0.000190924
76,565.846,0.02997,0.86271,0.99072,1.40941,0.000183855,0.000183855,0.000183855
77,573.384,0.03072,0.87384,0.98887,1.40941,0.000176786,0.000176786,0.000176786
78,580.941,0.04154,0.86642,0.98701,1.41136,0.000169718,0.000169718,0.000169718
79,588.574,0.02865,0.86827,0.98887,1.40642,0.000162649,0.000162649,0.000162649
80,596.195,0.03467,0.86827,0.98887,1.40269,0.000155581,0.000155581,0.000155581
81,603.837,0.03676,0.87013,0.98887,1.40349,0.000148512,0.000148512,0.000148512
82,611.404,0.03593,0.87199,0.99258,1.40194,0.000141443,0.000141443,0.000141443
83,619,0.0351,0.87199,0.99072,1.40079,0.000134375,0.000134375,0.000134375
84,626.664,0.03296,0.87199,0.98887,1.40183,0.000127306,0.000127306,0.000127306
85,634.241,0.04071,0.87013,0.98887,1.40418,0.000120238,0.000120238,0.000120238
86,641.819,0.03684,0.86827,0.98701,1.40355,0.000113169,0.000113169,0.000113169
87,649.372,0.03086,0.87199,0.99072,1.40585,0.0001061,0.0001061,0.0001061
88,657.024,0.02948,0.87013,0.99072,1.4055,9.90318e-05,9.90318e-05,9.90318e-05
89,664.617,0.02743,0.86827,0.99072,1.40608,9.19632e-05,9.19632e-05,9.19632e-05
90,672.226,0.02902,0.87199,0.99072,1.40447,8.48946e-05,8.48946e-05,8.48946e-05
91,680.583,0.02106,0.87013,0.99072,1.40303,7.7826e-05,7.7826e-05,7.7826e-05
92,688.21,0.03287,0.87013,0.99072,1.40211,7.07574e-05,7.07574e-05,7.07574e-05
93,695.991,0.02381,0.8757,0.99072,1.4024,6.36888e-05,6.36888e-05,6.36888e-05
94,703.479,0.02417,0.87384,0.99072,1.39987,5.66202e-05,5.66202e-05,5.66202e-05
95,711.012,0.01947,0.87199,0.99072,1.39918,4.95516e-05,4.95516e-05,4.95516e-05
96,718.545,0.02804,0.87199,0.99072,1.40183,4.2483e-05,4.2483e-05,4.2483e-05
97,726.106,0.03448,0.8757,0.99072,1.39821,3.54144e-05,3.54144e-05,3.54144e-05
98,733.619,0.02094,0.8757,0.99072,1.39941,2.83458e-05,2.83458e-05,2.83458e-05
99,741.154,0.02929,0.87755,0.99072,1.39844,2.12772e-05,2.12772e-05,2.12772e-05
100,748.724,0.02705,0.8757,0.99072,1.39821,1.42086e-05,1.42086e-05,1.42086e-05
