model,accuracy,macro_f1,weighted_f1
extra_trees,0.625,0.6,0.63125
xgboost,0.5625,0.5359848484848484,0.5539772727272727
logistic_regression,0.5625,0.4642857142857143,0.5089285714285714
random_forest,0.5,0.490079365079365,0.5064484126984127
hist_gradient_boosting,0.5,0.4720238095238095,0.49464285714285716
gradient_boosting,0.4375,0.41666666666666663,0.425
svm_rbf,0.4375,0.35952380952380947,0.40714285714285714
