epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.7778,0.8706,0.94257,1,1.03027,0.000237085,0.000237085,0.000237085
2,41.6377,0.32661,0.9375,1,0.99771,0.000470381,0.000470381,0.000470381
3,57.3236,0.27189,0.94257,1,0.97428,0.000698966,0.000698966,0.000698966
4,73.1981,0.23588,0.94764,1,0.96816,0.000692794,0.000692794,0.000692794
5,89.0927,0.18672,0.9527,1,0.96343,0.000685726,0.000685726,0.000685726
6,105.035,0.16331,0.96622,1,0.94873,0.000678657,0.000678657,0.000678657
7,120.963,0.15287,0.96284,1,0.95138,0.000671588,0.000671588,0.000671588
8,136.767,0.12705,0.96453,1,0.94488,0.00066452,0.00066452,0.00066452
9,152.482,0.12813,0.96791,1,0.94354,0.000657451,0.000657451,0.000657451
10,168.417,0.11274,0.95946,1,0.94436,0.000650383,0.000650383,0.000650383
11,184.492,0.1065,0.96284,1,0.95474,0.000643314,0.000643314,0.000643314
12,200.583,0.11086,0.96791,1,0.93989,0.000636245,0.000636245,0.000636245
13,216.836,0.10882,0.97128,1,0.94408,0.000629177,0.000629177,0.000629177
14,233.097,0.09303,0.95439,1,0.94524,0.000622108,0.000622108,0.000622108
15,249.436,0.08108,0.97128,1,0.94128,0.00061504,0.00061504,0.00061504
16,266.16,0.07574,0.97466,1,0.93295,0.000607971,0.000607971,0.000607971
17,282.333,0.07082,0.97128,1,0.93562,0.000600902,0.000600902,0.000600902
18,298.791,0.07542,0.97128,1,0.94051,0.000593834,0.000593834,0.000593834
19,314.985,0.06533,0.97297,1,0.93807,0.000586765,0.000586765,0.000586765
20,331.565,0.06504,0.97466,1,0.93251,0.000579697,0.000579697,0.000579697
21,347.951,0.04964,0.97635,1,0.93164,0.000572628,0.000572628,0.000572628
22,364.159,0.08539,0.97635,1,0.93069,0.000565559,0.000565559,0.000565559
23,380.94,0.06315,0.97466,1,0.93388,0.000558491,0.000558491,0.000558491
24,397.062,0.06321,0.98311,1,0.92683,0.000551422,0.000551422,0.000551422
25,413.429,0.05902,0.97635,1,0.93118,0.000544354,0.000544354,0.000544354
26,429.714,0.05299,0.97466,1,0.93586,0.000537285,0.000537285,0.000537285
27,446.075,0.05669,0.97297,1,0.93431,0.000530216,0.000530216,0.000530216
28,462.204,0.04747,0.97804,1,0.93131,0.000523148,0.000523148,0.000523148
29,478.572,0.04514,0.97635,1,0.93151,0.000516079,0.000516079,0.000516079
30,495.03,0.03688,0.96791,1,0.93624,0.000509011,0.000509011,0.000509011
31,511.245,0.03893,0.96284,1,0.94305,0.000501942,0.000501942,0.000501942
32,527.908,0.04396,0.96791,1,0.9348,0.000494873,0.000494873,0.000494873
33,544.117,0.0455,0.97804,1,0.93077,0.000487805,0.000487805,0.000487805
34,560.598,0.05042,0.97635,1,0.92989,0.000480736,0.000480736,0.000480736
35,577.119,0.04572,0.97804,1,0.92858,0.000473668,0.000473668,0.000473668
36,593.695,0.04333,0.97804,1,0.92971,0.000466599,0.000466599,0.000466599
37,609.865,0.03545,0.9848,1,0.92552,0.00045953,0.00045953,0.00045953
38,626.219,0.03821,0.97635,1,0.92979,0.000452462,0.000452462,0.000452462
39,642.552,0.03766,0.97466,1,0.9302,0.000445393,0.000445393,0.000445393
40,658.771,0.03313,0.97635,1,0.92845,0.000438325,0.000438325,0.000438325
41,675.312,0.02963,0.98311,1,0.92496,0.000431256,0.000431256,0.000431256
42,691.639,0.02812,0.97973,1,0.92599,0.000424187,0.000424187,0.000424187
43,708.004,0.03635,0.97804,1,0.92735,0.000417119,0.000417119,0.000417119
44,724.596,0.02903,0.97804,1,0.92884,0.00041005,0.00041005,0.00041005
45,741.009,0.0286,0.97973,1,0.92719,0.000402982,0.000402982,0.000402982
46,757.206,0.02605,0.97973,1,0.92761,0.000395913,0.000395913,0.000395913
47,773.446,0.02784,0.97973,1,0.92506,0.000388844,0.000388844,0.000388844
48,789.718,0.02505,0.97635,1,0.93002,0.000381776,0.000381776,0.000381776
49,806.232,0.02572,0.97635,1,0.92917,0.000374707,0.000374707,0.000374707
50,822.577,0.03224,0.97973,1,0.92532,0.000367639,0.000367639,0.000367639
51,838.954,0.02891,0.97804,1,0.92645,0.00036057,0.00036057,0.00036057
52,855.449,0.02003,0.98142,1,0.92403,0.000353501,0.000353501,0.000353501
53,871.706,0.0224,0.9848,1,0.92216,0.000346433,0.000346433,0.000346433
54,888.177,0.02191,0.97973,1,0.92452,0.000339364,0.000339364,0.000339364
55,904.538,0.02122,0.97973,1,0.92311,0.000332296,0.000332296,0.000332296
56,921.071,0.01905,0.97973,1,0.92514,0.000325227,0.000325227,0.000325227
57,937.328,0.01879,0.97973,1,0.9245,0.000318158,0.000318158,0.000318158
58,953.979,0.01533,0.9848,1,0.92205,0.00031109,0.00031109,0.00031109
59,970.279,0.02027,0.97973,1,0.92488,0.000304021,0.000304021,0.000304021
