clip_group,session_name,clip_filename,label,steps,roi_available_rate,both_detected_rate,any_detected_rate,flow_dx_norm_per_sec_mean,flow_dx_norm_per_sec_max,flow_dx_norm_per_sec_min,flow_dx_norm_per_sec_std,flow_dy_norm_per_sec_mean,flow_dy_norm_per_sec_max,flow_dy_norm_per_sec_min,flow_dy_norm_per_sec_std,flow_mag_norm_per_sec_mean,flow_mag_norm_per_sec_max,flow_mag_norm_per_sec_min,flow_mag_norm_per_sec_std,flow_mag_mean_mean,flow_mag_mean_max,flow_mag_mean_min,flow_mag_mean_std,flow_mag_max_mean,flow_mag_max_max,flow_mag_max_min,flow_mag_max_std,det_vx_norm_per_sec_mean,det_vx_norm_per_sec_max,det_vx_norm_per_sec_min,det_vx_norm_per_sec_std,det_vy_norm_per_sec_mean,det_vy_norm_per_sec_max,det_vy_norm_per_sec_min,det_vy_norm_per_sec_std,det_speed_norm_per_sec_mean,det_speed_norm_per_sec_max,det_speed_norm_per_sec_min,det_speed_norm_per_sec_std,det_speed_mean,det_speed_max,det_speed_min,det_speed_std,conf_a_mean,conf_a_max,conf_a_min,conf_a_std,conf_b_mean,conf_b_max,conf_b_min,conf_b_std,max_downward_flow,max_upward_flow,mean_downward_flow,max_downward_det_vy,max_upward_det_vy,mean_downward_det_vy,det_accel_mean,det_accel_max
clips_5__clips/004_minor-crash.mp4,clips_5,clips/004_minor-crash.mp4,minor-crash,14,1.0,1.0,1.0,-0.0010865962250467965,0.007771672356632809,-0.013016539625823487,0.005258949437976566,0.002574742306299637,0.012168492707941268,-0.009238388803270131,0.007452883240723878,0.00858899745818786,0.014793162234127508,0.00368570163846016,0.00281530424781923,1.100537440606526,1.8935247659683228,0.4717698097229004,0.36044756679355805,9.270859854561943,13.586050033569336,4.470078468322754,2.8348769276595904,0.01086642679459844,0.14843750000000003,-0.08593750000000007,0.06630151289068335,-0.03221738529574348,0.3333333333333336,-0.36805555555555564,0.19905200942824508,0.10445752272985805,0.2547462068075058,0.028168369339562422,0.07525009291796911,13.376843510497734,32.60751447136074,3.605551275463989,9.627048464289663,0.8515136327062335,0.8842955231666565,0.800473690032959,0.024289961799993157,0.8530108758381435,0.8842955231666565,0.800473690032959,0.02258244551171913,0.012168492707941268,-0.009238388803270131,0.008133325801730864,0.3333333333333336,-0.36805555555555564,0.13771996498986555,0.07736941274435898,0.19147342774928247
clips_5__clips/005_minor-crash.mp4,clips_5,clips/005_minor-crash.mp4,minor-crash,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.0038245636220799986,0.014824510102544847,-0.00046787888277322065,0.004238554128870111,-0.0016193275352330845,0.005604662001132965,-0.009619999386580234,0.004598130250920421,0.007068971341840561,0.015044747967625133,0.0,0.00389749836878752,0.9063014664820263,1.9353563785552979,0.0,0.5007410940742224,7.863639576094491,10.789304733276367,0.0,2.978128480924872,-0.043215840440653866,0.0,-0.1289062499999999,0.04414098926519689,-0.02245962647082047,0.2916666666666667,-0.2986111111111108,0.18536595287932475,0.09774092019356682,0.19503887082531138,0.0,0.06866814770067622,12.521699031551663,24.964975465639856,0.0,8.794223397231292,0.7719222434929439,0.8542997241020203,0.0,0.22277107159253015,0.7150494413716453,0.8542997241020203,0.0,0.3032060409085924,0.005604662001132965,-0.009619999386580234,0.0031432892299360694,0.2916666666666667,-0.2986111111111108,0.1718352681039248,0.053636614690788176,0.1836353011491117
clips_5__clips/006_takeoff.mp4,clips_5,clips/006_takeoff.mp4,takeoff,14,1.0,1.0,1.0,-0.006849191644626601,0.0003774764481931928,-0.030740910205081913,0.00938168491619706,0.016181363718663012,0.08257492383321137,-0.010105908744864984,0.026182930395149854,0.018814760961185683,0.05323400915558657,0.00040518728201277554,0.02088163568715148,2.4111843494964496,6.848022937774658,0.05186397209763527,2.6769240168135853,10.570983120373317,42.86298751831055,0.6042263507843018,11.119971575379479,0.003074749022743416,0.04296874999999996,-0.10156250000000014,0.03555423725106966,-0.1605489417989418,0.04166666666666668,-0.5208333333333328,0.2112624293573024,0.10436913785435585,0.29307289815472937,0.0,0.11157182336713596,13.372687970103195,37.51333096380539,0.0,14.294019810233719,0.8384032249450684,0.8635798096656799,0.8134306073188782,0.017186842391496104,0.8404350663934436,0.8635798096656799,0.8134306073188782,0.015721273182169933,0.08257492383321137,-0.010105908744864984,0.02164321366396412,0.04166666666666668,-0.5208333333333328,0.02601575456053068,0.031128241199962308,0.09513150490528821
clips_5__clips/007_minor-crash.mp4,clips_5,clips/007_minor-crash.mp4,minor-crash,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.009205570518392962,0.019813856109976786,-0.00810961425304413,0.009277795562695255,-0.005001626446501006,0.008715665294295056,-0.018343395657009532,0.00747861222145296,0.016681072747635344,0.03217716344553438,0.0,0.00794637983243096,2.1379215036119734,4.139270305633545,0.0,1.0202329446994476,10.349685089928764,22.779136657714844,0.0,5.3360549687045165,-0.03276585820895521,1.1621579601990053,-1.546875,0.5422456187301051,0.16381386717207608,2.909722222222221,-1.1180555555555556,0.8797942529126301,0.40985045495722805,1.6698339249500418,0.0,0.6069119319471845,52.516656708164476,213.73874239360538,0.0,77.75702330621145,0.7114212512969971,0.8735389709472656,0.0,0.23688997396014483,0.6569946961743491,0.8735389709472656,0.0,0.3027581568441765,0.008715665294295056,-0.018343395657009532,0.004878000534043987,2.909722222222221,-1.1180555555555556,1.0451388888888886,0.3797676638838052,1.6451286307299764
clips_6__clips/001_severe-crash.mp4,clips_6,clips/001_severe-crash.mp4,severe-crash,14,1.0,0.8571428571428571,1.0,0.00368671323426016,0.035906795412302066,-0.012342987582087506,0.013731384836359316,-0.0028713278840598625,0.11728959613376194,-0.06499640809165101,0.04116060988370707,0.03606397687909594,0.12298782914876938,0.012063995856254254,0.027117025034177376,4.620947812284742,15.74244213104248,1.5519124269485474,3.4703410572090347,17.792177064078196,48.4517936706543,10.280436515808105,9.648997888724935,0.09858908582089551,1.4420087064676617,-0.20703125000000006,0.44810369250654963,-0.22324143173023764,0.9097222222222224,-4.131944444444445,1.20305503391676,0.4525785909110764,2.4422311106550834,0.0,0.6823566290642281,58.00347431836624,312.60558216385067,0.0,87.4414562558994,0.7407488418476922,0.91379052400589,0.0,0.2461605039742228,0.7686003914901188,0.91379052400589,0.0,0.23283253642867396,0.11728959613376194,-0.06499640809165101,0.02936404001373425,0.9097222222222224,-4.131944444444445,0.4107702229592778,0.2944909213988202,0.9988820232696725
clips_7__clips/001_takeoff.mp4,clips_7,clips/001_takeoff.mp4,takeoff,14,0.7142857142857143,0.6428571428571429,0.7142857142857143,-2.662008441773679e-05,0.0012105752248316992,-0.002328207483515144,0.0007883097259249005,9.007363564876483e-05,0.0027091548674636422,-0.0015980573371052727,0.0009465274535585201,0.0019819942013328787,0.00796064604722445,0.0,0.0024979005320662716,0.2540922186204365,1.0240575075149536,0.0,0.3206529059922794,3.279583147593907,11.51673698425293,0.0,3.891084285236728,0.002232142857142857,0.015625000000000003,-0.00390625,0.0050151620216122616,-0.052497927031509115,0.0,-0.36805555555555564,0.11079522271841054,0.030198979204323517,0.2071786032215019,0.0,0.06222188114709011,3.87133287759904,26.51886121235224,0.0,7.974376968725858,0.582453327519553,0.8672128319740295,0.0,0.3834300590940473,0.5243371725082397,0.8672128319740295,0.0,0.4066531411561318,0.0027091548674636422,-0.0015980573371052727,0.0007990236564836946,0.0,-0.36805555555555564,0.0,0.02987596117450027,0.2071786032215019
clips_7__clips/002_severe-crash.mp4,clips_7,clips/002_severe-crash.mp4,severe-crash,14,1.0,0.7857142857142857,1.0,9.152155373755129e-05,0.0013380212476477031,-0.00045246940421227774,0.00039193642627692414,-8.326263541708907e-05,0.0006943507116924272,-0.0009336995167864686,0.0004776520830386283,0.0007359710273496472,0.001482810359448195,4.480480762610943e-05,0.00048271721296070904,0.09429708133185548,0.1897997260093689,0.005763690453022718,0.061838518455590255,3.0950902146952495,5.0357184410095215,0.5750921368598938,1.5534705465700922,-0.03182608164534471,0.054687500000000014,-0.19921874999999983,0.08339344650613578,0.05047678275290214,0.33167495854063006,0.0,0.10212501454253387,0.06840268443003619,0.20108652619115217,0.0,0.08470294251572776,8.764379653071042,25.739075352467502,0.0,10.856047907310542,0.6656638383865356,0.8506258726119995,0.0,0.287429647877201,0.719514514718737,0.8506258726119995,0.0,0.21449149937785775,0.0006943507116924272,-0.0009336995167864686,0.0003946227689503784,0.33167495854063006,0.0,0.11777915975677171,0.056585419017840595,0.1915656224256131
clips_7__clips/003_takeoff.mp4,clips_7,clips/003_takeoff.mp4,takeoff,14,0.9285714285714286,0.7142857142857143,0.9285714285714286,5.8590257410446473e-05,0.0005140538560226561,-0.00016122670785989634,0.0001621512959870555,3.067044288654894e-05,0.0005299380412577526,-0.0004591685719788075,0.00024618541924091656,0.0006958405673709693,0.002077587647363546,0.0,0.0006658239123951883,0.08920499712361821,0.26593121886253357,0.0,0.0854183311222449,2.1922445680413927,5.647064208984375,0.0,1.9041059637192448,0.0557577625266524,0.5703124999999994,0.0,0.15271980053757767,0.02579611861328276,0.7222222222222215,-0.31944444444444414,0.21762412285736718,0.07513968688589848,0.7002109754611456,0.0,0.18921670919535857,9.623746152389758,89.62700485902673,0.0,24.22152434369875,0.6369189832891736,0.8301613926887512,0.0,0.27905150649797555,0.5828467564923423,0.8301613926887512,0.0,0.3237540661342919,0.0005299380412577526,-0.0004591685719788075,0.00021778834332093313,0.7222222222222215,-0.31944444444444414,0.364583333333333,0.10359328935557355,0.5718871724510464
clips_8__clips/001_severe-crash.mp4,clips_8,clips/001_severe-crash.mp4,severe-crash,14,1.0,0.9285714285714286,1.0,0.011770464695672661,0.04665668143166442,-0.009101773301760355,0.01901144858426397,-0.009935891057997855,0.010045407339930534,-0.03532848134636883,0.014581867503008241,0.03270962086851049,0.05975463613867764,0.022503145039081573,0.011045412625262641,4.191099950245449,7.648593425750732,2.8804025650024414,1.414399220326883,12.442008699689593,20.746505737304688,6.890775203704834,4.41053934805686,0.01134950248756224,1.457987838584853,-1.3888888888888877,0.6877861222860971,0.05469027629708596,0.5117187499999996,-0.07812500000000003,0.18747559329830032,0.3111018769998388,0.8212318691782551,0.0,0.28958360208792455,39.874649585057355,105.64326765109077,0.0,37.13040687026076,0.7535842699663979,0.868330717086792,0.0,0.23093216121181867,0.8134008986609322,0.868330717086792,0.5672761797904968,0.07958282451210141,0.010045407339930534,-0.03532848134636883,0.004566049300289403,0.5117187499999996,-0.07812500000000003,0.3084528529228855,0.25200650685329895,0.7659891518980559
clips__clips/001_severe-crash.mp4,clips,clips/001_severe-crash.mp4,severe-crash,14,0.42857142857142855,0.35714285714285715,0.42857142857142855,-3.553260259130702e-05,0.0006636473117396238,-0.0010363287292420864,0.00035833246272742636,2.527444164678901e-05,0.0006513217360609107,-0.0007501482032239434,0.0003255869816922347,0.0006813627385002162,0.0023637718986719847,0.0,0.0008635758970053981,0.08721443052802767,0.30256280303001404,0.0,0.11053771481669095,1.3960687858717782,4.6745171546936035,0.0,1.8490944394533826,-0.008091517857142858,0.0,-0.039062500000000014,0.013658070444395858,0.07043650793650794,0.37499999999999983,0.0,0.13637840988369093,0.041095243832506324,0.21126277004671806,0.0,0.07754821452833188,5.2601912105608095,27.04163456597992,0.0,9.926171459626481,0.3469675821917398,0.8382421731948853,0.0,0.416052425298618,0.28911714042936054,0.8382421731948853,0.0,0.4028280784856913,0.0006513217360609107,-0.0007501482032239434,0.00046724247470222147,0.37499999999999983,0.0,0.1972222222222222,0.029556492825451967,0.20684691085740203
