epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,285.464,1.41535,0.76068,1.21063,0.94584,0.86834,0.93241,0.55705,1.50633,0.69913,1.30032,0.0011882,0.0011882,0.0011882
43,292.166,1.3856,0.74611,1.20772,0.95066,0.81191,0.90104,0.52137,1.52681,0.75979,1.33685,0.0011684,0.0011684,0.0011684
44,298.896,1.36545,0.74462,1.21347,0.95174,0.85893,0.92119,0.5363,1.48872,0.71889,1.31503,0.0011486,0.0011486,0.0011486
45,305.621,1.35296,0.74121,1.18839,0.96153,0.86196,0.92333,0.56368,1.47978,0.71036,1.27584,0.0011288,0.0011288,0.0011288
46,312.353,1.38287,0.73402,1.20952,0.95402,0.84554,0.92701,0.56452,1.47844,0.72274,1.30185,0.001109,0.001109,0.001109
47,319.109,1.34447,0.72558,1.19483,0.94469,0.85667,0.91273,0.53248,1.51443,0.73905,1.32227,0.0010892,0.0010892,0.0010892
48,325.831,1.36314,0.72992,1.18808,0.97474,0.84677,0.91933,0.53976,1.50606,0.71547,1.30165,0.0010694,0.0010694,0.0010694
49,332.595,1.35544,0.73631,1.18389,0.94073,0.87147,0.92922,0.54802,1.49014,0.7079,1.30171,0.0010496,0.0010496,0.0010496
50,339.32,1.31457,0.6869,1.16537,0.96824,0.84953,0.9307,0.54652,1.52882,0.68909,1.32327,0.0010298,0.0010298,0.0010298
51,346.047,1.37054,0.72955,1.19797,0.97103,0.8652,0.93253,0.56064,1.49457,0.68599,1.29907,0.00101,0.00101,0.00101
52,352.765,1.35004,0.70565,1.16582,0.96548,0.87667,0.92535,0.54675,1.54565,0.68651,1.30126,0.0009902,0.0009902,0.0009902
53,359.499,1.34445,0.70442,1.17427,0.96203,0.87359,0.92497,0.55692,1.45742,0.71143,1.27944,0.0009704,0.0009704,0.0009704
54,366.236,1.30238,0.68414,1.16385,0.97308,0.8652,0.92486,0.54564,1.48681,0.70625,1.29848,0.0009506,0.0009506,0.0009506
55,372.976,1.33996,0.68596,1.17473,0.95074,0.8652,0.92378,0.5491,1.49984,0.68017,1.29463,0.0009308,0.0009308,0.0009308
56,379.71,1.3289,0.68108,1.16983,0.96777,0.84953,0.92671,0.55568,1.51064,0.70161,1.2936,0.000911,0.000911,0.000911
57,386.433,1.3625,0.6967,1.19427,0.96173,0.83699,0.90236,0.51695,1.58256,0.71576,1.37432,0.0008912,0.0008912,0.0008912
58,393.165,1.3019,0.66289,1.15758,0.97191,0.86773,0.94166,0.57881,1.45011,0.65201,1.26576,0.0008714,0.0008714,0.0008714
59,399.912,1.29881,0.65326,1.16688,0.98473,0.87147,0.93224,0.56687,1.46989,0.66121,1.28264,0.0008516,0.0008516,0.0008516
60,406.629,1.30805,0.68286,1.15951,0.94882,0.87178,0.91864,0.55726,1.49217,0.6558,1.2965,0.0008318,0.0008318,0.0008318
61,413.336,1.27935,0.66564,1.15422,0.96453,0.8558,0.91818,0.56873,1.4759,0.66253,1.28261,0.000812,0.000812,0.000812
62,420.046,1.30645,0.65266,1.16963,0.97917,0.8558,0.92851,0.56718,1.47849,0.67727,1.28171,0.0007922,0.0007922,0.0007922
63,426.76,1.29377,0.66337,1.13901,0.95794,0.88715,0.93464,0.56123,1.48769,0.66891,1.28709,0.0007724,0.0007724,0.0007724
64,433.474,1.25354,0.64429,1.13202,0.94894,0.88715,0.92229,0.5462,1.51121,0.65988,1.31069,0.0007526,0.0007526,0.0007526
65,440.185,1.28588,0.66077,1.16271,0.95646,0.8652,0.92791,0.54544,1.50128,0.67266,1.29967,0.0007328,0.0007328,0.0007328
66,446.89,1.25378,0.63449,1.14651,0.97223,0.88715,0.93549,0.57067,1.43976,0.65658,1.26126,0.000713,0.000713,0.000713
67,453.624,1.26618,0.62114,1.14556,0.95863,0.8558,0.91541,0.5465,1.5161,0.65715,1.31135,0.0006932,0.0006932,0.0006932
68,460.339,1.2288,0.65247,1.12871,0.95043,0.89028,0.92329,0.55851,1.47955,0.6626,1.29643,0.0006734,0.0006734,0.0006734
69,467.042,1.25954,0.63598,1.1369,0.93381,0.89969,0.93504,0.56413,1.47038,0.63131,1.2886,0.0006536,0.0006536,0.0006536
70,473.754,1.25321,0.63125,1.13491,0.97087,0.88401,0.93235,0.56464,1.45065,0.63377,1.27268,0.0006338,0.0006338,0.0006338
71,480.461,1.24408,0.60982,1.1345,0.97238,0.88305,0.93078,0.55182,1.50587,0.63925,1.31582,0.000614,0.000614,0.000614
72,487.161,1.24712,0.61278,1.13959,0.97804,0.8558,0.9226,0.55864,1.48011,0.65602,1.29236,0.0005942,0.0005942,0.0005942
73,493.912,1.24646,0.61364,1.12627,0.98255,0.88263,0.93616,0.57039,1.47193,0.6345,1.29136,0.0005744,0.0005744,0.0005744
74,500.622,1.2405,0.61682,1.12682,0.96885,0.87739,0.92655,0.55638,1.46786,0.64212,1.28921,0.0005546,0.0005546,0.0005546
75,507.333,1.21704,0.61875,1.11609,0.94538,0.84639,0.92046,0.56708,1.45919,0.64034,1.2859,0.0005348,0.0005348,0.0005348
76,514.053,1.21461,0.59859,1.1137,0.95529,0.85266,0.92635,0.56559,1.47584,0.65967,1.28581,0.000515,0.000515,0.000515
77,520.803,1.23868,0.62225,1.12847,0.96305,0.89028,0.93533,0.57093,1.45869,0.63169,1.27817,0.0004952,0.0004952,0.0004952
78,527.508,1.1985,0.60292,1.10127,0.9618,0.8558,0.92357,0.54654,1.52743,0.66827,1.33115,0.0004754,0.0004754,0.0004754
79,534.206,1.2059,0.61009,1.11124,0.94384,0.88401,0.92679,0.55144,1.50592,0.65463,1.31677,0.0004556,0.0004556,0.0004556
80,540.917,1.18846,0.60417,1.0964,0.95611,0.88765,0.93019,0.55011,1.51408,0.61962,1.31744,0.0004358,0.0004358,0.0004358
81,547.616,1.21181,0.57808,1.11727,0.96,0.87461,0.9313,0.55641,1.49086,0.62588,1.30154,0.000416,0.000416,0.000416
82,554.331,1.15207,0.5676,1.09389,0.94901,0.87508,0.92538,0.55908,1.49821,0.64166,1.29547,0.0003962,0.0003962,0.0003962
83,561.056,1.18563,0.59079,1.09148,0.95285,0.88694,0.92973,0.57504,1.45421,0.63521,1.28168,0.0003764,0.0003764,0.0003764
84,567.758,1.16176,0.58615,1.08889,0.95632,0.89228,0.93688,0.56529,1.46671,0.63852,1.2869,0.0003566,0.0003566,0.0003566
85,574.462,1.14241,0.57004,1.06725,0.97119,0.89342,0.93581,0.57359,1.46585,0.6184,1.28518,0.0003368,0.0003368,0.0003368
86,581.178,1.14994,0.57168,1.09692,0.97379,0.88088,0.93415,0.56434,1.4625,0.62355,1.284,0.000317,0.000317,0.000317
87,587.885,1.15755,0.57503,1.09546,0.97682,0.86834,0.92993,0.56151,1.47884,0.63123,1.2874,0.0002972,0.0002972,0.0002972
88,594.601,1.14313,0.57343,1.08704,0.9412,0.90317,0.93631,0.55853,1.47786,0.63024,1.29471,0.0002774,0.0002774,0.0002774
89,601.305,1.15089,0.55137,1.08805,0.95642,0.8944,0.94053,0.5738,1.46442,0.61275,1.28953,0.0002576,0.0002576,0.0002576
90,608.013,1.12186,0.54983,1.07341,0.95661,0.89842,0.93769,0.56783,1.47731,0.61552,1.29357,0.0002378,0.0002378,0.0002378
91,615.149,1.11095,0.50104,1.09614,0.95465,0.87774,0.93592,0.54719,1.49224,0.64748,1.31431,0.000218,0.000218,0.000218
92,621.875,1.13526,0.4855,1.10408,0.94703,0.89676,0.93439,0.55949,1.4815,0.62956,1.292,0.0001982,0.0001982,0.0001982
93,628.573,1.10539,0.47589,1.10219,0.95338,0.89342,0.94065,0.56093,1.47125,0.62789,1.28583,0.0001784,0.0001784,0.0001784
94,635.277,1.08653,0.47383,1.07504,0.97067,0.84953,0.9273,0.5637,1.466,0.6265,1.28557,0.0001586,0.0001586,0.0001586
95,641.985,1.08025,0.45433,1.07918,0.96171,0.86619,0.93734,0.56351,1.47068,0.62693,1.29126,0.0001388,0.0001388,0.0001388
96,648.692,1.06425,0.46863,1.066,0.95527,0.87147,0.92919,0.56603,1.46437,0.624,1.28782,0.000119,0.000119,0.000119
97,655.399,1.09355,0.4618,1.07672,0.94454,0.87461,0.92934,0.56106,1.46674,0.62322,1.29014,9.92e-05,9.92e-05,9.92e-05
98,662.092,1.06001,0.46353,1.07327,0.97229,0.88011,0.9362,0.56735,1.45884,0.62448,1.28584,7.94e-05,7.94e-05,7.94e-05
99,668.776,1.0468,0.46126,1.05928,0.97248,0.88626,0.94265,0.56567,1.46412,0.62401,1.28814,5.96e-05,5.96e-05,5.96e-05
100,675.481,1.05916,0.45018,1.06207,0.97431,0.88715,0.94087,0.56953,1.46631,0.62546,1.286,3.98e-05,3.98e-05,3.98e-05
